"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"25","45.2460777049186","61.40836226603913","0.08203125","0.09716796875","0.06689453125","1560","0.00042495954013701685","32","0.00042495954013701685","0","0.00042495954013701685","0.00042495954013701685","24:0.003188342559710816;26:0.0016059962072838552;35:0.002011064752481445","24:68;26:68;35:108","Yes","24:0.00840468918633816;26:0.0051630854543257;35:0.005231006174798075"
"26","165.76043537461013","120.35668216183225","0.04150390625","0.0380859375","0.044921875","1560","0.00031711715756542756","32","0.00031711715756542756","0","0.00031711715756542756","0.00031711715756542756","25:0.0016059962072838552;27:0.0027839155585962505","25:68;27:68","Yes","25:0.0051630854543257;27:0.0029453575883304495"
"27","83.91304631206427","108.4818191252972","0.042724609375","0.04833984375","0.037109375","1560","0.00037947813622378127","32","0.00037947813622378127","0","0.00037947813622378127","0.00037947813622378127","26:0.0027839155585962505;28:0.002691282310956472;17:0.00427156346416338","26:68;28:80;17:160","Yes","26:0.0029453575883304495;28:0.0042385099971643525;17:0.006704976038845595"
"28","227.25908173898625","195.71549841847687","0.0078125","0.01025390625","0.00537109375","1560","0.00022472477602354828","32","0.00022472477602354828","0","0.00022472477602354828","0.00022472477602354828","27:0.002691282310956472;29:0.003917639126958805","27:80;29:116","Yes","27:0.0042385099971643525;29:0.007132677038353186"
"29","136.8174852561212","81.96877269993855","0.007080078125","0.00634765625","0.0078125","1560","0.00062250937465006","32","0.00062250937465006","0","0.00062250937465006","0.00062250937465006","36:0.0025777142976640965;28:0.003917639126958805;30:0.004274085733098176","36:68;28:116;30:68","Yes","36:0.005877945068506363;28:0.007132677038353186;30:0.009219048594858087"
"30","132.66118222853243","105.61271222850306","0.006591796875","0.01123046875","0.001953125","1560","0.0006233357346216614","32","0.0006233357346216614","0","0.0006233357346216614","0.0006233357346216614","31:0.0031901158225592086;29:0.004274085733098176","31:68;29:68","Yes","31:0.006124777034455187;29:0.009219048594858087"
"31","271.6425876401614","241.43680640512906","0.042236328125","0.0380859375","0.04638671875","1560","0.00031870256714269254","32","0.00031870256714269254","0","0.00031870256714269254","0.00031870256714269254","30:0.0031901158225592086;32:0.0032319655412541837;18:0.013260902109826528","30:68;32:68;18:68","Yes","30:0.006124777034455187;32:0.007285776528973248;18:0.007640988685414962"
"32","94.5321018751458","41.5185400304827","0.01318359375","0.0205078125","0.005859375","1560","0.0003504731338862978","32","0.0003504731338862978","0","0.0003504731338862978","0.0003504731338862978","31:0.0032319655412541837;33:0.06497989078710797","31:68;33:68","Yes","31:0.007285776528973248"
"33","159.5745881902653","69.92504826095998","0.029541015625","0.017578125","0.04150390625","1560","0.0003235337025865203","32","0.0003235337025865203","0","0.0003235337025865203","0.0003235337025865203","37:0.002010879484033279;32:0.06497989078710797","37:88;32:68","Yes","37:0.0026458781168699763"
"34","226.6452759569025","120.58658061493283","0.032470703125","0.02880859375","0.0361328125","1560","0.00019057905662777622","32","0.00019057905662777622","0","0.00019057905662777622","0.00019057905662777622","21:0.012225197232026197;40:0.0018450177847106342","21:68;40:96","Yes","21:0.04408574053180522;40:0.0027821379116184375"
"35","156.44602181665576","113.68638608231936","0.01171875","0.01171875","0.01171875","1560","0.000288890719458045","32","0.000288890719458045","0","0.000288890719458045","0.000288890719458045","44:0.0017334908758588063;25:0.002011064752481445","44:108;25:108","Yes","44:0.0035613101674511205;25:0.005231006174798075"
"36","74.00241186914862","115.72080970938028","0.00634765625","0.0087890625","0.00390625","1560","0.0006329012920113433","32","0.0006329012920113433","0","0.0006329012920113433","0.0006329012920113433","48:0.0022521856355564585;29:0.0025777142976640965","48:68;29:68","Yes","48:0.005343729247809237;29:0.005877945068506363"
"37","189.97200595576965","98.01180739520481","0.004638671875","0.00341796875","0.005859375","1560","0.0003448783429522944","32","0.0003448783429522944","0","0.0003448783429522944","0.0003448783429522944","33:0.002010879484033279;52:0.001917605591622601","33:88;52:104","Yes","33:0.0026458781168699763;52:0.004498055366055492"
