"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"88","190.33714980734825","192.52300501714075","0.0224609375","0.01611328125","0.02880859375","1560","0.0007959741505207842","32","0.0007959741505207842","0","0.0007959741505207842","0.0007959741505207842","94:0.010023614303316247;87:0.009952277369387141;89:0.009917803842511674","94:76;87:68;89:68","Yes","94:0.008661771749806868;87:0.013186223793884677;89:0.013093099565293698"
"89","239.95703797337555","160.16383953423457","0.060791015625","0.0546875","0.06689453125","1560","0.0003478151184505121","32","0.0003478151184505121","0","0.0003478151184505121","0.0003478151184505121","90:0.0025544582166116825;88:0.009917803842511674","90:68;88:68","Yes","90:0.00300919382089071;88:0.013093099565293698"
"90","275.0630506346672","281.7689863638385","0.022216796875","0.01220703125","0.0322265625","1560","0.0003322294744434793","32","0.0003322294744434793","0","0.0003322294744434793","0.0003322294744434793","75:0.003109588020443005;89:0.0025544582166116825","75:88;89:68","Yes","75:0.0033464108952853955;89:0.00300919382089071"
"91","219.91742419157757","112.37778321792236","0.009765625","0.009765625","0.009765625","1560","0.0003242922347339028","32","0.0003242922347339028","0","0.0003242922347339028","0.0003242922347339028","95:0.0031861028685207238;76:0.006131608885385359","95:148;76:68","Yes","76:0.002620461236877536"
"92","219.84835339016198","146.19819691742416","0.010986328125","0.013671875","0.00830078125","1560","0.0005728047972568286","32","0.0005728047972568286","0","0.0005728047972568286","0.0005728047972568286","99:0.005319120371802516;80:0.004487927049203172","99:68;80:68","Yes","99:0.006142602559047666;80:0.003394254177535222"
"93","273.69523609344395","158.75654671586489","0.008544921875","0.00634765625","0.0107421875","1560","0.00016378773246345703","32","0.00016378773246345703","0","0.00016378773246345703","0.00016378773246345703","84:0.006284739286291419;103:0.0021395992021274735","84:68;103:68","Yes","84:0.004704887069702374;103:0.0025091083632000633"
"94","224.10352975138343","231.9966702363053","0.01416015625","0.01123046875","0.01708984375","1560","0.0001250685519571828","32","0.0001250685519571828","0","0.0001250685519571828","0.0001250685519571828","88:0.010023614303316247;107:0.0032406276131626832","88:76;107:104","Yes","88:0.008661771749806868;107:0.0028424426334951736"
"95","98.13093682319105","40.022492711972326","0.017578125","0.01708984375","0.01806640625","1560","0.0005244224448095265","32","0.0005244224448095265","0","0.0005244224448095265","0.0005244224448095265","91:0.0031861028685207238;96:0.0027414290893809645","91:148;96:68","Yes","96:0.004736479156270679"
"96","185.7264469161426","152.5940857691064","0.0166015625","0.01513671875","0.01806640625","1560","0.00025593032144799493","32","0.00025593032144799493","0","0.00025593032144799493","0.00025593032144799493","97:0.007120085604015808;95:0.0027414290893809645","97:68;95:68","Yes","97:0.009685665095867352;95:0.004736479156270679"
"97","230.43842399532494","98.40804574652539","0.048583984375","0.03662109375","0.060546875","1560","0.00042005595748013973","32","0.00042005595748013973","0","0.00042005595748013973","0.00042005595748013973","96:0.007120085604015808;110:0.00269779244010665;98:0.0021422898351926567","96:68;110:88;98:68","Yes","96:0.009685665095867352;110:0.002507681572350734;98:0.003923946205869472"
"98","231.262575148981","64.43288706468898","0.025146484375","0.02685546875","0.0234375","1560","0.0002688940524059806","32","0.0002688940524059806","0","0.0002688940524059806","0.0002688940524059806","97:0.0021422898351926567;99:0.0020855442787763023","97:68;99:68","Yes","97:0.003923946205869472;99:0.00242412239008416"
"99","104.29274225797182","95.07614164349957","0.033447265625","0.04541015625","0.021484375","1560","0.0002050345493341776","32","0.0002050345493341776","0","0.0002050345493341776","0.0002050345493341776","100:0.002068234812508729;92:0.005319120371802516;98:0.0020855442787763023","100:68;92:68;98:68","Yes","100:0.004275102131033298;92:0.006142602559047666;98:0.00242412239008416"
"100","221.5805905802818","180.93884204767537","0.04150390625","0.0107421875","0.072265625","1560","0.00018869088554429754","32","0.00018869088554429754","0","0.00018869088554429754","0.00018869088554429754","99:0.002068234812508729;101:0.002265677532220428","99:68;101:88","Yes","99:0.004275102131033298;101:0.0029967446022388378"
"101","131.47572876868767","100.00458770953134","0.053955078125","0.06982421875","0.0380859375","1560","0.00021571862915806852","32","0.00021571862915806852","0","0.00021571862915806852","0.00021571862915806852","100:0.002265677532220428;102:0.003181653975126042;111:0.001809088743927434","100:88;102:68;111:108","Yes","100:0.0029967446022388378;102:0.005735632954300657;111:0.0027963072119198684"
"102","90.76483890843731","36.470693148004074","0.010498046875","0.0166015625","0.00439453125","1560","0.0005078065997929603","32","0.0005078065997929603","0","0.0005078065997929603","0.0005078065997929603","101:0.003181653975126042;103:0.0031103756244101333","101:68;103:68","Yes","101:0.005735632954300657;103:0.010134719255516705"
"103","275.112243949884","86.35262965777679","0.05517578125","0.0927734375","0.017578125","1560","0.00011146759091373939","32","0.00011146759091373939","0","0.00011146759091373939","0.00011146759091373939","104:0.005617631075611279;93:0.0021395992021274735;102:0.0031103756244101333","104:68;93:68;102:68","Yes","104:0.022609380400657103;93:0.0025091083632000633;102:0.010134719255516705"
"104","67.3319142751131","23.94828275821551","0.047119140625","0.0830078125","0.01123046875","1560","0.0034638586849293396","32","0.0034638586849293396","0","0.0034638586849293396","0.0034638586849293396","103:0.005617631075611279;105:0.010189100340510487","103:68;105:104","Yes","103:0.022609380400657103;105:0.05402856373181389"
"105","94.34416251178996","16.060644167574836","0.08447265625","0.1123046875","0.056640625","1560","0.0025009302504647338","32","0.0025009302504647338","0","0.0025009302504647338","0.0025009302504647338","104:0.010189100340510487;106:0.00998314427648861;112:0.0072242159085732505","104:104;106:68;112:68","Yes","104:0.05402856373181389;106:0.03213744764116466;112:0.012285086914855275"
"106","105.59880703484065","112.65969921659644","0.1103515625","0.13671875","0.083984375","1560","0.0015121927139891851","32","0.0015121927139891851","0","0.0015121927139891851","0.0015121927139891851","107:0.004980057242476493;105:0.00998314427648861","107:68;105:68","Yes","107:0.004955215802542323;105:0.03213744764116466"
"107","208.590358011543","194.22345115596895","0.017578125","0.02099609375","0.01416015625","1560","0.000217514981952475","32","0.000217514981952475","0","0.000217514981952475","0.000217514981952475","106:0.004980057242476493;108:0.007505505448197836;94:0.0032406276131626832","106:68;108:68;94:104","Yes","106:0.004955215802542323;108:0.007943010257001254;94:0.0028424426334951736"
"108","128.89994656214964","150.09729644249524","0.016357421875","0.00927734375","0.0234375","1560","0.00029363476448455463","32","0.00029363476448455463","0","0.00029363476448455463","0.00029363476448455463","107:0.007505505448197836;109:0.0020253181841487222","107:68;109:68","Yes","107:0.007943010257001254;109:0.004989597730240741"
"109","205.36057768411044","212.84151074326462","0.037353515625","0.03173828125","0.04296875","1560","0.0003848594901014579","32","0.0003848594901014579","0","0.0003848594901014579","0.0003848594901014579","113:0.0019242660404978629;108:0.0020253181841487222","113:68;108:68","Yes","113:0.004890367978026777;108:0.004989597730240741"
"110","155.24290861000617","160.61850779556644","0.0087890625","0.005859375","0.01171875","1560","0.00025114178658836603","32","0.00025114178658836603","0","0.00025114178658836603","0.00025114178658836603","116:0.0021869316972879527;97:0.00269779244010665","116:80;97:88","Yes","116:0.0026503627516104578;97:0.002507681572350734"
"111","145.52750783374697","100.17432927841318","0.010986328125","0.0087890625","0.01318359375","1560","0.00021900805864877198","32","0.00021900805864877198","0","0.00021900805864877198","0.00021900805864877198","120:0.0021121036095072543;101:0.001809088743927434","120:128;101:108","Yes","120:0.0031821638242090222;101:0.0027963072119198684"
"112","261.3538415596406","213.88911733400315","0.00634765625","0.0087890625","0.00390625","1560","0.00026496080353653013","32","0.00026496080353653013","0","0.00026496080353653013","0.00026496080353653013","124:0.0018935566910305845;105:0.0072242159085732505","124:68;105:68","Yes","124:0.0033483246377560005;105:0.012285086914855275"
"113","252.76945658089318","224.12908299749583","0.02880859375","0.03076171875","0.02685546875","1560","0.001600195586934116","32","0.001600195586934116","0","0.001600195586934116","0.001600195586934116","109:0.0019242660404978629;128:0.0020822856212353302","109:68;128:68","Yes","109:0.004890367978026777;128:0.0056529662673286685"
"114","170.20144775060533","206.11282976678788","0.055908203125","0.01513671875","0.0966796875","1560","0.00017870401618310945","32","0.00017870401618310945","0","0.00017870401618310945","0.00017870401618310945","129:0.004209349839002147;115:0.002259369013760726","129:68;115:104","Yes","129:0.0070584564791355275;115:0.00518862304888687"
"115","104.8598727777179","107.6028761541168","0.12548828125","0.09375","0.1572265625","1560","0.0004963860808707865","64","0.0004963860808707865","0","0.0004963860808707865","0.0004963860808707865","114:0.002259369013760726;116:0.0030022621666077887","114:104;116:136","Yes","114:0.00518862304888687;116:0.0075351535454841745"
"116","241.64869562329426","201.66936863266832","0.0341796875","0.0263671875","0.0419921875","1560","0.00025629034833049433","32","0.00025629034833049433","0","0.00025629034833049433","0.00025629034833049433","110:0.0021869316972879527;115:0.0030022621666077887;117:0.0018467459016772436","110:80;115:136;117:68","Yes","110:0.0026503627516104578;115:0.0075351535454841745;117:0.003121631978889705"
"117","81.7849192403699","59.97037135458919","0.004638671875","0.0087890625","0.00048828125","1560","0.0003085187695922061","32","0.0003085187695922061","0","0.0003085187695922061","0.0003085187695922061","116:0.0018467459016772436;118:0.0022789267165154448","116:68;118:68","Yes","116:0.003121631978889705;118:0.007367392567933229"
"118","162.80938798382397","149.52002141079763","0.09033203125","0.091796875","0.0888671875","1560","0.0002384241623915652","32","0.0002384241623915652","0","0.0002384241623915652","0.0002384241623915652","119:0.004924576921602891;130:0.0019598506293072027;117:0.0022789267165154448","119:68;130:68;117:68","Yes","119:0.00559888420276658;130:0.003959521595357202;117:0.007367392567933229"
"119","124.95211978301181","118.30111000788669","0.026123046875","0.02880859375","0.0234375","1560","0.0002442446996934087","32","0.0002442446996934087","0","0.0002442446996934087","0.0002442446996934087","118:0.004924576921602891;120:0.001936762111474588","118:68;120:68","Yes","118:0.00559888420276658;120:0.0032191793743116537"
"120","143.9813208928753","160.44555625939307","0.019287109375","0.02392578125","0.0146484375","1560","0.00027454481183620795","32","0.00027454481183620795","0","0.00027454481183620795","0.00027454481183620795","119:0.001936762111474588;121:0.00217166277811634;111:0.0021121036095072543","119:68;121:80;111:128","Yes","119:0.0032191793743116537;121:0.0028519677377502883;111:0.0031821638242090222"
"121","266.3379691232549","102.13076342851122","0.037353515625","0.04296875","0.03173828125","1560","0.00026065492143754825","32","0.00026065492143754825","0","0.00026065492143754825","0.00026065492143754825","120:0.00217166277811634;122:0.0019594525214988168","120:80;122:68","Yes","120:0.0028519677377502883;122:0.00408980802167852"
"122","271.0258589844267","177.39113245342148","0.05859375","0.05419921875","0.06298828125","1560","0.0001833475746203017","32","0.0001833475746203017","0","0.0001833475746203017","0.0001833475746203017","131:0.002576079770036599;121:0.0019594525214988168;123:0.009527054865860751","131:68;121:68;123:68","Yes","131:0.004979517527932492;121:0.00408980802167852;123:0.020653535864684797"
"123","38.74108785168701","13.890689286485117","0.047119140625","0.08544921875","0.0087890625","1560","0.003439291672827257","32","0.003439291672827257","0","0.003439291672827257","0.003439291672827257","124:0.025641163769993314;122:0.009527054865860751","124:68;122:68","Yes","124:0.021337879076767235;122:0.020653535864684797"
"124","137.75756133403692","107.38828029863383","0.10546875","0.14599609375","0.06494140625","1560","0.0003454401528984298","32","0.0003454401528984298","0","0.0003454401528984298","0.0003454401528984298","112:0.0018935566910305845;123:0.025641163769993314;125:0.002554424684295259","112:68;123:68;125:108","Yes","112:0.0033483246377560005;123:0.021337879076767235;125:0.004048878504169406"
"125","205.58585582475018","163.09782048348777","0.007080078125","0.01171875","0.00244140625","1560","0.00017475646247308175","32","0.00017475646247308175","0","0.00017475646247308175","0.00017475646247308175","124:0.002554424684295259;126:0.003230904516515365","124:108;126:68","Yes","124:0.004048878504169406;126:0.003099952477937068"
"126","142.289171927501","149.45620697296454","0.08251953125","0.1015625","0.0634765625","1560","0.00023517119791291498","32","0.00023517119791291498","0","0.00023517119791291498","0.00023517119791291498","132:0.001944354124786024;127:0.0033167144918115066;125:0.003230904516515365","132:68;127:68;125:68","Yes","132:0.0040130293505786785;127:0.008547634207157595;125:0.003099952477937068"
"127","61.45558992457901","77.10177089561768","0.012939453125","0.009765625","0.01611328125","1560","0.0005690858708465338","32","0.0005690858708465338","0","0.0005690858708465338","0.0005690858708465338","126:0.0033167144918115066;128:0.00294344453408682","126:68;128:68","Yes","126:0.008547634207157595;128:0.007561791970438464"
"128","321.02354727155716","165.60060514582977","0.07958984375","0.09814453125","0.06103515625","1560","0.00016358290324596422","32","0.00016358290324596422","0","0.00016358290324596422","0.00016358290324596422","113:0.0020822856212353302;127:0.00294344453408682","113:68;127:68","Yes","113:0.0056529662673286685;127:0.007561791970438464"
"129","151.2469193447968","124.61163250550813","0.037109375","0.041015625","0.033203125","1560","0.0010499370943021949","32","0.0010499370943021949","0","0.0010499370943021949","0.0010499370943021949","114:0.004209349839002147","114:68","Yes","114:0.0070584564791355275"
"130","149.487186668264","143.25952594012043","0.0126953125","0.01611328125","0.00927734375","1560","0.0005843764591162901","32","0.0005843764591162901","0","0.0005843764591162901","0.0005843764591162901","118:0.0019598506293072027","118:68","Yes","118:0.003959521595357202"
"131","223.00682990292802","73.9799863513821","0.005615234375","0.00341796875","0.0078125","1560","0.00047677065030053803","32","0.00047677065030053803","0","0.00047677065030053803","0.00047677065030053803","122:0.002576079770036599","122:68","Yes","122:0.004979517527932492"
"132","227.94746047939515","241.4691825215102","0.01318359375","0.01220703125","0.01416015625","1560","0.00023869322982036668","32","0.00023869322982036668","0","0.00023869322982036668","0.00023869322982036668","126:0.001944354124786024","126:68","Yes","126:0.0040130293505786785"
